GeneID	expCompName	USD
6712	30223_30224	DD
4008	30223_30224	DD
6840	30223_30224	DD
202	30223_30224	DD
84687	30223_30224	DD
6744	30223_30224	DD
56829	30223_30224	UU
3726	30223_30224	UU
6772	30223_30224	UU
405	30223_30224	DD
26574	30223_30224	DD
864	30223_30224	U
3659	30223_30224	U
10096	30223_30224	DD
962	30223_30224	DD
10109	30223_30224	DD
4609	30223_30224	DD
2787	30223_30224	DD
10765	30223_30224	DD
5914	30223_30224	U
7170	30223_30224	DD
5297	30223_30224	DD
7030	30223_30224	S
114049	30223_30224	S
64425	30223_30224	U
2037	30223_30224	S
55028	30223_30224	U
10130	30223_30224	S
11052	30223_30224	S
5966	30223_30224	UU
55898	30223_30224	UU
22800	30223_30224	DD
7421	30223_30224	U
359948	30223_30224	U
8880	30223_30224	UU
79685	30223_30224	DD
54809	30223_30224	UU
11137	30223_30224	U
11344	30223_30224	DD
57674	30223_30224	DD
7750	30223_30224	DD
7879	30223_30224	DD
90488	30223_30224	DD
10767	30223_30224	S
3843	30223_30224	SS
7469	30223_30224	SS
23223	30223_30224	S
10632	30223_30224	S
55628	30223_30224	S
6836	30223_30224	S
90381	30223_30224	S
4723	30223_30224	S
8562	30223_30224	S
10615	30223_30224	S
10973	30223_30224	S
51588	30223_30224	S
64376	30223_30224	S
79171	30223_30224	S
388272	30223_30224	S
25824	30223_30224	SS
27341	30223_30224	SS
7862	30223_30224	S
10270	30223_30224	SS
7273	30223_30224	SS
85440	30223_30224	DD
1445	30223_30224	DD
3832	30223_30224	SS
892	30223_30224	SS
60678	30223_30224	SS
4862	30223_30224	SS
1958	30223_30224	UU
2355	30223_30224	UU
51116	30223_30224	UU
51593	30223_30224	UU
5825	30223_30224	U
822	30223_30224	SS
122953	30223_30224	SS
8522	30223_30224	U
84878	30223_30224	U
25813	30223_30224	SS
55421	30223_30224	SS
7511	30223_30224	SS
5469	30223_30224	SS
5514	30223_30224	SS
1459	30223_30224	SS
2244	30223_30224	SS
6503	30223_30224	SS
6871	30223_30224	SS
8530	30223_30224	SS
10067	30223_30224	SS
10945	30223_30224	SS
11164	30223_30224	SS
51164	30223_30224	SS
54901	30223_30224	SS
56848	30223_30224	SS
63925	30223_30224	SS
128869	30223_30224	SS
221785	30223_30224	SS
400506	30223_30224	SS
1975	30223_30224	SS
158158	30223_30224	SS
9557	30223_30224	UU
51021	30223_30224	SS
3164	30223_30224	UU
23367	30223_30224	SS
57703	30223_30224	SS
79027	30223_30224	SS
116986	30223_30224	U
8202	30223_30224	SS
9527	30223_30224	SS
7566	30223_30224	SS
8672	30223_30224	SS
84436	30223_30224	SS
388561	30223_30224	SS
23164	30223_30224	DD
5576	30223_30224	DD
23180	30223_30224	DD
81873	30223_30224	DD
120	30223_30224	D
7070	30223_30224	D
9928	30223_30224	D
