GeneID	expCompName	USD
6711	12452_12453	S
6709	12452_12454	DD
7153	12452_12455	SS
7155	12452_12456	SS
31	12452_12457	SS
5591	12452_12458	SS
142	12452_12459	SS
4627	12452_12460	SS
3192	12452_12461	SS
1108	12452_12462	SS
3428	12452_12463	SS
1523	12452_12464	S
4288	12452_12465	S
4628	12452_12466	SS
8467	12452_12467	SS
64005	12452_12468	SS
4297	12452_12469	SS
3980	12452_12470	SS
4926	12452_12471	SS
4670	12452_12472	SS
3848	12452_12473	SS
7150	12452_12474	SS
4001	12452_12475	SS
5981	12452_12476	SS
6117	12452_12477	SS
7431	12452_12478	S
3181	12452_12479	SS
9219	12452_12480	SS
3849	12452_12481	SS
1642	12452_12482	SS
2547	12452_12483	SS
64919	12452_12484	SS
3312	12452_12485	SS
23269	12452_12486	SS
9031	12452_12487	SS
11177	12452_12488	SS
3184	12452_12489	SS
50485	12452_12490	SS
3178	12452_12491	SS
3309	12452_12492	SS
1655	12452_12493	SS
10492	12452_12494	S
3054	12452_12495	SS
3858	12452_12496	SS
11198	12452_12497	SS
220988	12452_12498	SS
5091	12452_12499	SS
25942	12452_12500	SS
10236	12452_12501	SS
7520	12452_12502	SS
203068	12452_12503	SS
1660	12452_12504	SS
3857	12452_12505	SS
5925	12452_12506	SS
54815	12452_12507	SS
24137	12452_12508	SS
10592	12452_12509	S
2317	12452_12510	S
10594	12452_12511	SS
9782	12452_12512	S
10521	12452_12513	SS
3006	12452_12514	SS
7112	12452_12515	SS
27316	12452_12516	SS
7019	12452_12517	SS
10432	12452_12518	SS
3007	12452_12519	SS
3008	12452_12520	SS
84678	12452_12521	S
3182	12452_12522	SS
3326	12452_12523	SS
6596	12452_12524	SS
7156	12452_12525	SS
2186	12452_12526	SS
84823	12452_12527	SS
3191	12452_12528	SS
3190	12452_12529	SS
1654	12452_12530	S
23020	12452_12531	SS
9656	12452_12532	SS
4691	12452_12533	SS
11284	12452_12534	SS
2316	12452_12535	SS
57673	12452_12536	SS
10320	12452_12537	SS
3009	12452_12538	SS
10856	12452_12539	SS
3609	12452_12540	S
7343	12452_12541	SS
56922	12452_12542	SS
4841	12452_12543	SS
6184	12452_12544	SS
64087	12452_12545	SS
6597	12452_12546	SS
51176	12452_12547	SS
6712	12452_12548	DD
6942	12452_12549	SS
3852	12452_12550	SS
2313	12452_12551	SS
3313	12452_12552	SS
5984	12452_12553	SS
9793	12452_12554	SS
1643	12452_12555	SS
23047	12452_12556	SS
641	12452_12557	S
9188	12452_12558	SS
221092	12452_12559	S
1997	12452_12560	SS
6304	12452_12561	SS
6421	12452_12562	SS
3065	12452_12563	SS
7707	12452_12564	S
865	12452_12565	SS
4176	12452_12566	SS
6938	12452_12567	DD
8683	12452_12568	S
3183	12452_12569	SS
23234	12452_12570	SS
6742	12452_12571	SS
7182	12452_12572	SS
9112	12452_12573	SS
23347	12452_12574	SS
23523	12452_12575	SS
81	12452_12576	S
1794	12452_12577	SS
5928	12452_12578	SS
9126	12452_12579	SS
3066	12452_12580	S
5965	12452_12581	S
7515	12452_12582	SS
23450	12452_12583	S
1665	12452_12584	SS
8607	12452_12585	SS
10664	12452_12586	SS
3320	12452_12587	SS
861	12452_12588	SS
3187	12452_12589	SS
27086	12452_12590	SS
5982	12452_12591	SS
5814	12452_12592	SS
50809	12452_12593	SS
